Author,Datetime,Title,Content
Pennypops,2018-09-04T17:25+00:00,Does antibiotics effect HRT ?,"Hi, I am on HRT have been for 6 months ( elleste duet) so do get a bleed once a month however I finished my bleed over a week ago and have started bleeding again , this began on the 2nd day of starting antibiotics for cystitis. ( Trimethoprim ) seems weird that this could cause a bleed ...any ideas ?"
Brittay123,2018-09-03T22:23+00:00,Hip pain,Hi ladies.. I was wondering if anyone had bilateral hip pain and slight lower back pain around their period? I have been suffering for several days.. ughhh... I’m 52 my period are irregular. I started spotting today . I’m worried about the pain!
mary27278,2018-06-02T02:20+00:00,Right Ribcage pain,"Perimenopause gave me a break for a week but back with pain and discomfort under right breast ribcage . Im also having muscle tightening in my back, both ribcage and and back are painful at times. Has anyone else experience this?"
michellemybell,2018-08-22T09:24+00:00,General unwell feeling all the time.,"Bloating, pains inbetween shoukder blades in back sometomes hurts to breathe then just goes away. Arthritis in hips and shoulders. Feeling nausea, palpatations and heart flutters. Headaches tiredness forgetfulness feeling of going mad. Burning when going for a poo and feeling lije your bowels are not emptying. I explain to doctor iys like a mud poo 😢. Ive had enough. Had so many tests everyyhing os normal also going throuhh change and am on hrt. Dr now says last blood test showed lowe iron and anemia she is concerned i have internal bleeding. Seriously i can take this"
rachel87590,2018-09-03T21:07+00:00,I have a huge bum and worried my hrt isn’t getting through or am I being silly?,Is it true that if you put your hrt patch on a fat bum or belly that u only get 10 per cent hormones going through? Or is this rubbish?
wendy36287,2018-09-04T02:51+00:00,Acid,Hi i have acid 2 wks nw wat can i do?
sherrie_bgood,2018-09-01T09:49+00:00,Any online compounding pharmacist?,"Hi my sisters. Just curious if anyone has used an online compounding pharmacy for BHRT? I would love a home saliva test kit and then compounded formula sent based on results. I'm looking for the most economical AND convenient way to get started on BHRT! Enough is enough, I've had it with you, Ms. Meno!"
Sassyr12a,2018-09-03T17:49+00:00,Imagine my surprise!!!!,"Ladies, I've posted previously about irregular bleeding on bhrt, but imagine my surprise when I went to check it out. Click here to view image"
karen96096,2018-09-02T14:54+00:00,Aches and pains,Hi ladies asked this question before but i will ask again lol. Does any of you get aches and pains in your joints especially your shoulders. My shpulders are the worse at the moment. I have in the past suffered with dislocated shoulders as i was knocked down by a car when i was young so this could be making it worse xx
Guest,2018-08-31T15:21+00:00,Dear doctor,"Hello ladies, I am seeing a new doctor soon.  I wrote this ...maybe I should sent it!  Dear Doctor: Please understand the immense effort it was for me to get here I am tired, dizzy and my mind is not clear Please do not suggest more scans, tests and X-rays As I’ve had a thousand in previous days Please do not shrug your shoulders and say “ I don’t know” Or suggest I increase my Lexapro! Please understand this is not how I used to be Nausea, fatigue, aches, pains and riddled with anxiety Please understand this is not how I want to be A normal person shouldn’t be tired at a quarter past 3! Please understand I do not deserve to feel this way I hope you are worth the co pay!"
fiona27807,2018-08-30T07:55+00:00,dont look like myself anymore,Does anyone else feel they just dont look the same . tired drab old bags under eyes black circles
jane63977,2018-08-29T18:03+00:00,Health anxiety again,"Hello everyone . Oh how I wish I could calm down . I really am going to make myself ill . Last week I was having twinges in my chest and called out a paramedic . Ecg was good , blood pressure up and quicker heart rate , but all put down to anxiety and heartburn . I saw my doctor later that day and he told me to not be concerned . I had suffered the same symptoms previously 3 years ago a few months after losing my mum . All put down to grief and peri anxiety . Now I have read that if you have creases on your earlobes it can mean heart problems . I’ve now noticed these on mine . My anxiety is in overdrive again . Have they missed something ? Am I going to have a heart attack in the near future ? What should I do ? I can’t speak to my husband about this , as he will think I’m a fruit loop and here we go again . Nearly seven weeks since my last period and I can’t stand this . I’ll probably give myself a heart attack from this worrying (FYI there was an article on anxiety causing that and strokes as well ) . I really must stop reading these medical articles !"
Guest,2018-08-27T14:07+00:00,Thickened uterus,"Hi All, if you might remember I was scheduled for an u/s today to see if the thickened uterus I had back in May has gotten any better. I've been using the progesterone cream all summer. The u/s showed my uterus was normal now. I'm still producing follicles as both my ovaries had one. Everything looked good. So not sure if it was having a different u/s technician, who could actually find my ovaries this time, knew what she was doing, or if the progesterone cream has been helping. I'm inclined to think the cream has helped since I no longer have mid cycle spotting like I used to.  It's a good day, and I'm relieved that I didn't jump right away and get the biopsy in May like they wanted me to. The tech said that a thickened uterus is indeed common in perimeno. No need to panic right away. That said, if you have been in menopause for a number of years and start to have spotting, this should be investigated further with an u/s and biopsy if needed. But us peri gals, take a deep breath! XO"
juanita93228,2018-08-30T18:47+00:00,Has anyone tried Amberen? You can buy it at Walmart.,"I just saw this advertisement while playing a game on my phone. Its supposed to help with hot flashes, mood swings, low energy etc. I want to try it but I have fibroids and wonder if this would affect them. The commercial says ""feel like yourself again""🙄"
Beverlys1,2018-08-28T01:56+00:00,Pain going up into my uterus area,"hi all another new symptom,  have had this other times but not a strong and painful.. Has anyone had this and if they have do you know what is causing it?  As I said have had a few times befor but not as painful when I first went into Perimenapause about 3 years ago I am about 4 years in... Ha,ha💜"
yasmin49092,2018-09-02T13:30+00:00,Pains etc,Hi ladies so been peri for about 3 years but was confirmed 3 months ago with bloods. My last period was the 9th April no spotting etc since iv has mood swings etc on the time my period was due but that's it. However the last week I have had a continuous headache nothing touches it and my boobs oh my god I can't even brush past anything they hurt so so much and today I keep getting horrendous period pain but no blood. Is this all normal plz as I feel like rubbish today I really do xx
menopolized,2018-08-19T10:41+00:00,urethra in menopause,"Girls, my urethra feels sore/damaged. Im in peri, had some UTIs that I took anibiotics for. I dont think there is any infection right now. Should I apply coconut oil for maintenance ? would you recommend vaginal hormone cream ( long term usage ) ? please advise, thanks"
Lainey19,2018-08-31T03:17+00:00,Menopause arthritis! Has anyone experienced this after menopause?,"hi ladies, I recently have had full on menopause symptoms for a year now.flushes to the stage hat it's really affecting my life.the new thing that's happening for a couple of months now is my joints are getting arthritis in them.my hands especially.i had cancerin my womb so it was all taken away so this means I can't take anything with oestrogen in it as the cancer may come back as there was a small piece left inside.im wondering if anyone is experiencing the arthritis part of menopause as its getting really bad.im 48 and my joints feel 20 years older?  Thanks 😘"
d19606,2018-09-02T10:06+00:00,"swollen area next to opening of vagina and into bottom,",hi everyone  for the past few days i have what feels like a hard swelling in the area next to opening and in the area were my bottom is its swollen inside not on outside and its one sided and hurts when i cough or try to go toilet or walking. it only started a few days ago when i laydown and feel the area its like on one side its real hard and swolen but when i feel the other side its normal and soft. i dont know what iv done and why this has happend but its a bit worrying.
Guest,2018-09-02T12:44+00:00,Do you take your antidepressant morning or night?,"Hi ladies,  I have been on lexapro for 3 months.   Gradually going from 5, 7.5, 10 mg each month.  It is helping a little, but I just scaled back to 5mg a couple days ago due to extreme exhaustion and dizziness...head was really weird too. My period came earlier in the week, light and lasted 2 days.  I’m not sure what to blame at this point, I don’t want to toss in the towel just yet on the AD.  I take it in the morning.  I think I am going to change to night and see if it makes a difference.  I am sooo exhausted with peri and feel somedays the Lexapro makes it worse...so confused!  Maybe it is just not for me anymore...Thanks"
jill19850,2018-08-25T19:24+00:00,Advice Please.....,"Hi girls........so I did it...I broke down and took an antidepressant for the horrible anxiety that I all of a sudden have..i think from peri. Day 1 was ok...day 2 was great...day 3 (yesterday) was anxiety and nervousness like I have NEVER experienced before. I can eat, or sleep, and the nausea is unbearable. my psychiatrist told me not to take today's pill, which I happily obliged. anyway- any thoughts or advise? I only took for 3 days and still feel like hell. Im so scared on top of it all.....help :-("
susan81669,2014-07-31T16:42+00:00,"So scared I might have cancer, ultrasound showed thickening of the lining of the womb,","Hi I am 53 hadn't had a period for over a year then started bleeding on Monday, went straight to doctors had ultrasound the next day no cysts or fibroids discovered then had call today to go to see GP who informed me I have thickening of the lining of the womb, so have to have more tests, :-( I am so afraid it's cancer especially with the speed the tests etc have been happening, blood tests were ok, doctor said I will have a diagnosis within two weeks, I am absolutely petrified, not coping at all, I do suffer with very bad anxiety too:-("
jane63977,2018-08-31T17:51+00:00,I feel like I’m at deaths door,"Hello again to everyone . Really need reassurance today and at my wits end . I am 51 and haven’t had a period in seven weeks and the symptoms go on . Thoroughly depressed , tingling in chest , stabbing pains as if my period wants to start , aching back and shoulders , mind due I am a hairdresser and this could be respective strain from years of work and now for the cherry on top , a migraine . I even called a paramedic last week because of the chest pain and saw my doctor , but they’ve reassured me that I am completely fit . So why am I feeling this ill ? Is it all in my mind ? My husband has told me it is and that I have to believe the professionals . I think he’s getting seriously fed up with me and my whinging . Also , another recent symptom of a sensation that I’m going to pass out that came up through my legs even though I was sitting down . All this is frightening the life out of me . I really don’t think I can cope with this much longer and thinking maybe my husband and daughter would be better if I wasn’t living with them anymore . I am at a really low ebb . Please help ."
mee16031,2018-09-01T08:31+00:00,Sudden itching down under!,"I have had no periods for a year so I guess it's officially menopause now. Last evening suddenly I had severe burning and itching in and around my vagina. I have never in my life had any issues with any kind of infection or urinary infection or any problems whatever in the region. I think I need to see my doctor. I've been on HRT for a year now, estrogen, progesterone, testosterone combo. Has anyone faced a similar problem?"
jilld27,2018-08-29T19:03+00:00,Chills and Dizziness,Hi I think I'm going through the menopause but I am constantly dizzy and keep having chills in my legs . Does anyone else suffer with these too? It's really worrying me . I've had blood tests why but all fine.
Str8tfans,2018-09-01T03:50+00:00,New one for me!,"Has anyone ever had...ok bare with me here on this description....a weird tingling but yet NOT QUITE tingling in their hands? Almost like- if you hold your phone too long, or sit with your hand in one position too long it feels “off”? I know that sounds crazy lol They’re not “actually” “fully” “tingly”, that’s the weird thing. But yet- feel like they’re going to be, if anyone can make any sense out of that nonsense at ALL lol Almost a small amount of pain, and just like everything else in our lives right now....WEIRD!  I know I’m ovulating, because I felt the pain earlier. And a few of my other “middle month”, as I call it, symptoms.  But this one is new. I’m pretty sure I’ve read about this from other women on here but would love to hear any of your personal detailed descriptions of what you’ve felt with that. Thanks in advance everyone!  As always, more than thankful for all of you and this forum!"
Bassilli,2018-09-01T02:01+00:00,Pain,I never had pain or cramps when I was regular. Now I have pain in my side which goes up into my ribs and some slight cramps. Out seems to be associated with spotting or bleeding. Anyone else experience this? Thank you for replies.
bev66,2018-09-01T07:10+00:00,Hot flushes,"Hey ladies hope you can help 😒. So I was wondering wether any of you get hot flushes all day everyday? I never really suffered hot flushes untill about 2 months ago when I started to get them all day,I am constantly in front of a fan and even have it on all night when I go to bed they dont stop me sleeping but probably would without the fan. I'm not sure wether living in spain is magnifying the situation or wether it's nothing to do with perimenapause 😔😔😔"
CarolKelso,2018-08-25T08:12+00:00,"Horrible new symptom...like a flu, aching all over, freezing cold and nausea..!!!! Help","Hello ladies....yesterday i felt like i was coming down with a bug and lord, headache, aching all over and freezing cold....i had to go into shower to heat myself up....it calmed down but during the night it happened again and had to turn electic blanket on...like the opposite of a hot flush....the aching in my body awful as well as headaches.... Im moving home, relocating and moving job in a month..lots going on and i thought i was getting past some of this as i want to feel well for my move.... Girls i have seen posts where people feel cold, achy and fluey and this is totally out of the blue for me.....i barely made it to work this morning..would love to hear if you experience simular.... Thx in advance CK"
laura26665,2018-08-29T12:34+00:00,HRT,"Hi all. I am meeting with my doctor next month (not happy I have wait another month) to discuss perimenopause and HRT. I've got all the symptoms of perimenopause except the periods. Mine are 25 days apart but are like clockwork. Anyways, my biggest symptoms are anxiety, moodiness and sometimes depression. I would like to hear anyone else's experience with HRT. Does it help with mood issues? Thank you in advance for your responses."
nicola060,2018-08-30T15:29+00:00,Peri facts,Hi ladies  I find the more I focus on my symptoms the worse I get. I've stopped focusing on every single symptom I have I've stopped wallowing in self pity and this has made a huge difference in my life so I thought I would just share it to see if this motto will help others as it can't be healthy with the constant moaning and talking about peri or meno every day it will only impact is if we allow it to
wendy_4261,2018-08-31T06:59+00:00,Cyclonic vomiting,"Since menopause I've acquired cyclonic vomiting, every 3 months this happens, my Dr sent me for all kinds of tests, everything was normal, then said its cyclonic vomiting, I gt stomach cramps for a wk or so before the attack then its vomiting, dioreah, fever an chills, I've nearly come close to passing out on really bad episodes, these attacks can last between 4hrs upto 8hrs,Dr said its caused by a build up of MSG I can't eat Chinese food anymore because that brings on an attack within an hr of eating it 🤢🤢😢😢"
mrs_martini,2018-08-29T13:48+00:00,"anxiety, breathing problems and issues swallowing - is this peri menopause..?",Hi. I've been having random anxiety attacks for the last two years - usually made better with a 2mg diazapin tablet. However this month I had a more severe anxiety attack which needed 2x diazapin 3x a day. For three days I didn't eat and felt anxious. Then it just passed. At around the same time I've started experiencing problems with my swallowing - feels like small things are sticking in my throat. And my breathing has been erratic - often feel like I can't get my breath. I'm not having any problems sleeping/hot flushes etc. Does this sound like the peri menopause/menopause - I'm 45... I feel like I'm going mad and feel anxious all the time....
mrs_susan74280,2018-08-21T21:46+00:00,Hormone gell,"HI, I take 1 pump of hormone gell aday, could anyone till me , what would this be if I was on the patch thanks, how do people get on with the gel, I am 58 day 4"
jane63977,2018-08-30T07:03+00:00,Nausea now ( again ),"Last night on was on here talking about my chest , now I’m feeling rough and back to my stomach issues . This is how peri all began for me just over three years ago with all the stomach issues . Now I feel I’m going back to square one again . All my problems stemmed from my mum dying in June 2015 and today would have been her birthday . In the night I thought I was going to be sick , but that could have been the reflux I get now and again . Then I had to use the bathroom twice and again this morning ( sorry if tmi ) . It’s like I’ve taken a laxative . I’ve had so many tests , all clear so why do I still feel like this ? I have been weaning myself off citalopram an AD over the past year also . I was doing so well with the symptoms disappearing and now BAM , in the past six weeks since I haven’t had a period they’ve all been creeping back . Feel horrible this morning and just want to cry . Can’t talk to my husband and daughter , as they’re probably fed up hearing about it . Seem to be getting like mini hot flushes as well . Please help"
Claire4474,2018-08-30T06:35+00:00,Hair Loss,"Hi everyone My hair started falling out some time ago. Dr did tests and said iron was low, hair felt like it was growing back again. Since then I’ve been taken off the iron tabs as my bloods now say iron has gone up and is normal.  My hair is majorly falling out now. I used to have really thick long hair. Now it’s very thin and limp, I’m terrified I’m going bald!!! What, if anything, can I take to make my hair grow back? I’m worried about taking iron as mine is normal now and I know you can overdose on iron.  Thanks x"
sherrie_bgood,2018-08-30T09:12+00:00,Hey hot mamas! Anyone use ZRT lab for hormone testing?,"I'm 55 and one full year without a period, yeah!! I want to jump on the biodentical hormone bandwagon, but not sure how. Has anyone used the hormone testing kits to self test and treat? If so, what lab did u use and which kit? What do you do once u have the results? Buy some Biodentical Creams based on the results and then retest periodically? Or do I need to find a compounding pharmacy? Thanks for your help ladies, the end is near! (Not THAT end!)"
Geegemiai,2018-08-30T20:11+00:00,Thickned Uterine lining... endometrial biopsy,"Hi ya’all, absence of mensie for about a year now. Normal pap in June 2018, slight pink bleeding a year to the date of my last mensies. Doc ordered a transvaginal sono which showed thickening Ofntje uterine wall, he suggested a endometrial biopsy. Completed today not bad at all, just worried about the results 7-10 days of anguish. Has anyone had thickened uterus without bleeding?"
Sassyr12a,2018-08-30T15:22+00:00,I need your help....!,"Hi girls, I know the answer but sometimes you need others to say it. I've been on bhrt since March, been doing okay. We can't get testogel in the UK anymore, and so I be been waiting to start a new gel but been off it for about 5 days. This afternoon I've hit the wall, feel scared, upset, sad, angry, sick, headache, dizzy etc. Now the logical side of me knows it's withdrawal, but the frightened 5yr old is worried I'm completely crazy. Please could you spare some time to put my mind at ease, I'm worried. Thankyou for reading xxx"
lori93950,2018-08-30T22:24+00:00,Anybody else found that the creams don’t work as well as the patch ?,I started on the cream BHRT and it didn’t do anything for me switched to the patch and felt some relief within a day or two but felt that it was making me down depressed  . So went back to the cream and doubled my dose ... day 4 and feel like crap still. Has anybody else been on both ? And what did you experience ?
pat48401,2018-08-26T06:30+00:00,I desperately need your advice. Could it be menopouse?,"I am post menopause now. 3 months ago after 2.5 years of no period and lots of drama with peri like severe anxiety and burping and panic attack, I became period again. Yes i was bleeding. Went to gynocologist and he took me to day surgery to take sample. Could not find any abnormality and took my IUD out. I was sure it was a period all the symptoms was like a period. After that my anxiety started again. Last month i got sinus infection doctor gave me antibiotic after finishing anribiotic i start to get Panic attack pretty much all day and night. How can i describe it. It likes somebody squeezing my head and body between concretes and after 15 minutes leave my exhausted body in the street. Burping like nervous burp. But feeling doom and gloom does not leave me alone. I walk and go swim everyday helps for couple of hours but when i eat my meal for example my panic attack comes back and shakes me in head and body and send this electectric shocks to my head, face and body with dizziness in morning. When to Gp last week and gave me anti axiety Serepox. I can not take it during the day because i need to drive and get of the house. In night i am not sure help me or not. I have all sort of nasty thought to end everything. My husband is away for work but will be back in couple of day. Ican not tell my son how do i feel because it is his last year of high school and he is very busy with exam. Please advice me."
kelly3120,2018-08-30T16:45+00:00,Chills,"Hey warriors So can someone explain the chills I get for a couple days before and after my period ends?? I get one one, it comes out of the blue and it lasts about 4 seconds and then goes away. It's such a weird feeling!"
sandra01720,2018-08-29T23:23+00:00,Clots with period,"I’m 47, still get my period regularly though I’ve had the odd very long cycle. I am fairly certain I’m in perimenopause.  Anyway, today I passed a clot the size of a toonie roughly.  I have been passing others that are smaller too. Is this normal?"
amy341731,2018-08-30T13:25+00:00,Weird left lower rib pressure..not pain..,"Hi all- back again with another annoying random not particularly terrible symptom (I don’t think!)...Last week I was on antibiotics for tonsillitis and it went away fine (z pack erythromycin) no issues except a bit of diarrhea..typical..I feel fine, that did the trick but on the last day of it and ever since, I’ve felt a weird sensation in my lower left rib cage..not painful, not even squeezing..just a pressure feeling..it’s not always noticeable but has been present most days for about a week now..I’ve heard this is the area of spleen or gall bladder..I feel fine otherwise, no pain, fever, nausea or anything like that, just a very weird feeling. I also got my period during that time and ate seafood a few times as I was on vacation but don’t think either of those things have anything to do with it. I just wondered if anyone else had felt this weird feeling..? I’m guessing it will go away like the other annoying symptoms but so far it’s still hanging on🤨 Take care all and thanks for any feedback! ??"
Beverlys1,2018-08-28T01:40+00:00,Pain going up into my uterus area,"hi all another new symptom,  have had this other times but not a strong and painful.. Has anyone had this and if they have do you know what is causing it?  As I said have had a few times befor but not as painful when I first went into Perimenapause about 3 years ago I am about 4 years in... Ha,ha💜"
JoMarie1970,2018-08-30T04:00+00:00,Cramps in calves and feet feel stiff,"Hey ladies! Ive been doing better with my anxiety and getting used to some of my odd symptoms, but for the past few days I’ve had a new symptom that is starting to make me nervous. I have had cramps in my calves similar to a charley horse and my feet feel stiff! Anyone else have this happen?"
sharcerv52408,2018-08-29T17:02+00:00,Heat Intolerance,"Hi Ladies, Do any of you have an intolerance to heat since you started having peri/Menopause Symptoms? I cannot tolerate extreme heat indices. I live in New York and in the summer it can get really cooking here with the heat. When I go out I start experiencing anxiety because I'm afraid I'm going to pass out although this has never happened. I feel weird and start feeling funny sensations in my head. I don't feel any relief until I'm indoors with a cool fan or AC. Anyone else have this reaction to the heat?"
Airam,2018-08-30T01:08+00:00,I hate this...,Click here to view image
Guest,2018-08-29T14:26+00:00,"Lazy, droopy eye?","A friend of mine came over this morning.  I asked her if my eyes look weird because I always feel like I’m out of it.  She is post meno.  She said it looks like I have a lazy eye.  I had a dr ask me last year if I had a stroke too...as my eye droops a little! I have terrible dark circles... I just chocked it up to exhaustion...anybody else have this?  I’ve had a clean brain scan and heart tests, etc.  I’m on an AD, but it’s not that because I had it before.  I’m only 41...😩"
jules0405,2018-08-30T08:39+00:00,Hit flushes,"I want to share my experience of my hot flushes and hope you ladies will share your experiences then we can see a variety of symptoms that come on at the same time as a flush. I get some kind of electric shock could be anywhere in my body that signals a hot flush is coming, then my whole body temperature rises, my forehead, under my breast, under my tummy, between my legs all red hot and wet through could last up to 20 minutes, at the same time I may have intrusive dark thoughts, pounding heart, I feel weak like I’m going to faint, I feel like any second I will fall to the floor and black out, my muscles ache everywhere, I feel so weak,  I’ve been having hot flushes for a long time, I’ve been on and off HRT, I usually get sore breasts and low mood with HRT so I stop taking them.  I’ve niw been off HRT for 4 months and I’m thinking of going back to doctors and going back on it, trying a different one, my flushes are awful and affect my quality of life.  In the mornings I wake up with my body so sore everywhere I tell myself, that one day it won’t matter because I will be dead. My thoughts can be so low in the morning. I’ve made a doctors apt to discuss HRT because I can’t cope without them, hot flushes can affect us all differently but they are equally disturbing and affect quality of life."
Finny2018,2018-08-29T00:01+00:00,"Maca, Cohosh, Magnesium, etc...these can have really concerning side effects in some!","Just wanted to share that I've read some people who've had negative experiences while trying Maca; fatigue, depression, mood swings and crying spells being just some of the symptoms.  I've done a lot of research and always read the negative reviews on everything first so that I know what could be worst case scenario when I try a new vitamin, supplement etc. Just wanted to share! I know it's hard to believe that something ""natural"" or in the ""vitamin"" aisle could cause fatigue, depression or anxiety - but we can all attest that this is true as some of us thrive on one and another has a rough go with it. My thought is...I am going to keep trying different things, if needed, as I go through this meno journey; and not give up!!! I love this forum as it gives us all that encouragement and inspiration to keep going and the comfort knowing we are not alone!"
Guest,2018-08-29T17:16+00:00,Does this sound like a hot flush????,"I always imagined we might just sweat a bit and need to put a fan on and open a window.   How completely wrong I was..... Does this sound familiar to anyone..................? - hotty/coldy feeling - sweat on chest and head - chest tightens, so therefore cough - as a consequence of the cough, do a sick - headache and tinnitus Usually lasts for 5 or so minutes, and the number of these episodes is increasing.  On about 12 day, whereas last cycle would only have 1 or 2 a day. Are they hot flushes??  They are often also accompanied with stomach cramping, like period pain. Thanks!"
lori93950,2018-08-30T01:14+00:00,How much is 12.5 mg estradiol per click ?,I know I’ve asked this before .. think I’m going bloody crazy but if my container pen says 12.5mg how much am I getting per click ? I’ve doubled up on the dosage and don’t want to overdose on estrogen ... maybe if I did I may feel happy again 😖
julie7525,2017-02-07T20:33+00:00,"In menopause and having palpitations, IBS, panic attacks, panic disorder, chrinic anxiety","Hi, I have gone from having a normal, productive life to a wreck in the last year. I have been in menopause for 14 months. I started with occasional palpitations about 2 yrs ago which started to cause panic attacks. I have akso had chronic indigestion for the same time, had tests n nothing sinister showing so believed to be ibs. I have had increasing anxiety over the past 18 months. At xmas this escalated to panic disorder, looping panic attacks. I am now on 75 mg sertraline (AD), betablockers, diazepam when needed and evirel conti HRT patches. Palpitations coming more frequent...wondering if its the HRT patches. Dont drink, smoke or have caffein. Went back to work too early today...got oalps when i got home & intense fear. Ecg at xmas showed normal tho doc said something minor with atria...she didnt understand! She at first said it was afib then later said its not. This question mark is troubling me wen i get the palps...i asked her if she thinks theyre stress related, she shrugged n said maybe! Think i need echocardiogram to put my mind at rest. I know all of these symptoms can be menopause related. Is anyone experiencing similar? Thank you!"
Louise4586,2018-08-29T09:51+00:00,Help for dizzy people,"Hello I have posted several times about an off balance feeling, like the ground is moving sensation. I am what I think is early Peri stage - I have a monthly bleed but no longer regular and lots of other symptoms. Anyhow, I have started the mini pill which is progesterone only to try and stop my heavy periods but the off balance feeling seems to have gone 😍😍😍😍 Maybe I was lacking progesterone. Worth a try. Now to get rid of this nausea. Louise"
wendy36287,2018-08-29T19:57+00:00,Speech,Does any one have a slur speech wen acid raises?
lori93950,2018-08-20T01:32+00:00,My 6 months of HELL... is ANYBODY else completely debilitated ?,I’m venting tonight as had 2 VERY bad days.  6 months ago on a trip to Santa Fe I awoke in my hotel and felt weird could not wake up . Ventured out only to return shortly afterwards feeling so sick dizzy . Spent most of the 3 days in the hotel . Thought it was just the altitude and wine.  Got home felt better then it all began again ... took me 4 hours to get out of bed most days after finding this forum and many visits to the dr realized it was Meno. Since then life has been very strange not one day in 6 months has gone by I haven’t felt exhausted . Went on the patch and got a little relief but the exhaustion never subsided.  I have missed a trip to Europe spent $1000’s on healthcare ... tried everything . When on when does this ease up? I’ve got a big week a fabulous exciting car event in my city friends visiting ... cars that sell for over $50 million it’s the best week of the year and I feel awful.  I do have Epstein Barr like many others ... is anybody else feeling so debilitated that they are ready for bed at 4pm ... can’t go to functions ...majorly  depressed . Feel like I’m the only one 😢
michelle92591,2018-08-29T13:17+00:00,Breathing issues,"Has anyone experienced breathing issues while your hormones are fluctuating. I feel like I can't get a full breath, or i am wheezing. Thinking some is anxiety and weather related, but never had so much happen to me until my periods went haywire and started to miss some. Health anxiety has me thinking had thought s."
Madracquel,2018-08-28T22:04+00:00,I wpould like ot ask how you know if you need meds or hormones? Can anyone share their experiences?,"I just received my hormone tests and she said they are fine and i should be done having my period by the end of the year. Are they really fine?  Here is what they are, any input would be greatly appreciated: Testosterone    20 FSH    22.7 LH    33.7 Progesterone    2.3 Estradiol    149 Thank you"
michelle46271,2016-03-15T22:09+00:00,perimenopause. How long roughly do the extreme symptoms of perimenopause last?,"I am 46 and have been suffering symptoms for about 4 years. The last 3 months it has been awful. A really frightening experience. Depression,anxiety and panic attacks (about 6 panic attacks a day some days) Couldn't even drive to the shop. Palpitations and heart flutters . Severe pressure headaches every single day. Weak legs,tinnitus,not sleeping and restless legs at night,the list goes on ! How long will this last for anyone?"
wendy36287,2018-08-29T01:33+00:00,My thoughts are killing me,"Ladies just of recent i have been with chest wall pain , tingling on arms an legs sometimes face and my mind is negative and emotional. My acid is up an anxiety is killing. Did blood work ecg stress test an all is normal hwever d dr told me am NIT MENOPAUSAL OR PERI. Am i going crazy or just close to suicidal. My chest wall hurts an d left side is worrying me to d extreme. I have no patience an energy . Any info or related stories cam help . But can i have symptoms an not be menopausal or peri??? Tanks ladies"
gilly_64426,2018-08-29T04:02+00:00,Feeling good lately,"Hi ladies, Just saying hello. I'm feeling almost brand new after 3 months of pain. My mammogram test results came back and I'm Good🤗thanks for all your prayers. I still have frozen shoulder and it's thawing off. Started Keto to do something about weight gain, approaching 50 and need to start maintaining this body"
jill19850,2018-08-29T01:09+00:00,Two questions......... :-(,"Hi girls...I have two questions that I need advice on, please.... 1)anyone think a hysterectomy would just clear all this crap up? I have severe symptoms (especially anxiety) and with lots of uterine fibroids and also fibroids on my ovaries; my dr suggested a hysterectomy... 2) anyone experience anxiety from taking Prometrium (progesterone)? I know it is the calming hormone but just want to see if it could be an possibility...... Thoughts/advice?? help.........."
JAS06,2018-08-29T11:24+00:00,Vaginal discomfort,For the last two months I have had different vaginal discomfort. It kind of started just mostly feeling like I was way too aware that I had a vagina. Then it times I felt like I could feel air bubbles inside. I’ve had it she feelings. I’ve had burning feelings. I’m currently dealing with intense noticeable it she discomfort. I’ve also had differing levels of pelvic pain. I went to my gynecologist and went through all kinds of testing. All of the STI testing came back negative. I had two different wet mount test both of which came back negative. I’ve had a vaginal ultrasound as well as a CT scan. The only thing that was found were a couple cyst on my left ovary. I realize that could account for some of my pelvic pain. I have tried to explain as best I can to my gynecologist. He currently put me on a vaginal gel for BV. This makes me uncomfortable because it is a strong anabiotic and I do not believe I have BV. I have no discharge. I have no odor. In fact throughout all of this I would say that I have been very dry in the vaginal area. I am 46. I’ve started to have irregular periods. I am assuming I am perimenopausal. I have Peri menopausal symptoms as well. Could this be a hormone issue?  My anxiety is high. My stress is high. I feel like I’m going crazy.
wendy36287,2018-08-29T01:41+00:00,Confused,Ladies i have all the symptoms but was told am not in peri or menopause. Any insight ? My chest wall hurts i hav d tingles an all my test are normal. Anxiety is high also acid is beyond its level . Help please.
nancy55477,2018-08-26T07:00+00:00,Dizziness now happening,"I have just noticed dizzy spells happening like floors are moving around me, or like I am losing my balance, is this part of the menopause, unsure?"
jane63977,2018-08-28T11:09+00:00,No period and anxiety,"Hello everyone , I’m back again ( unfortunately ) . Still no period , now six and a half weeks since my last one and my anxiety is through the roof . This in turn makes me depressed and I guess pms off the scale . Just feel horrible . I turned 51 a couple of weeks ago , so worried about getting old . Last week I had pains in my chest and ended getting a paramedic round . Came to the conclusion it was a mixture of heartburn , anxiety and maybe I’d pulled it as my shoulder blades were aching as well . This in turn hasn’t helped my mood as you question your mortality . I just want to feel better and gave my mind at ease instead of constantly worrying about something . In the end you wonder if the symptoms are real or partly psychosymatic . Will I feel better if my period comes ? I spoke to my doctor as well last week and he was very reassuring , I always have it in the back of my mind if they’ve missed something . On Sunday the roast I cooked was a bit of a disaster and what could go wrong did go wrong . It was like the end of the world to me . I’m sure my husbands getting fed up of me with my changing moods and drama ! I can’t help it though . Anyone else suffering like this ?"
